영화제목,코드,장르,감독,주연배우
콰이어트 플레이스 2,20204261,스릴러,존 크래신스키,"에밀리 블런트, 킬리언 머피, 노아 주프, 밀리센트 시몬스, 디몬 하운수, 웨인 듀발"
크루엘라,20216362,"드라마,범죄,코미디",크레이그 질레스피,"엠마 스톤, 엠마 톰슨, 마크 스트롱"
루카,20216685,"애니메이션,어드벤처,코미디",엔리코 카사로사,"제이콥 트렘블레이, 잭 딜런 그레이져, 엠마 버만"
컨저링3: 악마가 시켰다,20217736,"공포(호러),미스터리,스릴러",마이클 차베즈,"베라 파미가, 패트릭 윌슨"
여고괴담 여섯번째 이야기 : 모교,20218240,"미스터리,공포(호러)",이미영,"김서형(노은희), 김현수(김하영), 최리(김소연), 김형서(여고생 은희), 장원형(박연묵)"
분노의 질주: 더 얼티메이트,20205041,액션,저스틴 린,"빈 디젤, 존 시나, 성 강, 샤를리즈 테론, 미셸 로드리게즈, 조다나 브루스터, 헬렌 미렌"
캐시트럭,20217651,액션,가이 리치,"제이슨 스타뎀, 스콧 이스트우드, 조쉬 하트넷, 홀트 맥칼라니, 제프리 도노반"
인 더 하이츠,20204790,"뮤지컬,드라마",존 추,"안소니 라모스, 멜리사 바레라, 코리 호킨스, 레슬리 그레이스"
극장판 귀멸의 칼날: 무한열차편,20200703,애니메이션,소토자키 하루오,"하나에 나츠키, 키토 아카리, 시모노 히로, 마츠오카 요시츠구, 히노 사토시, 히라카와 다이스케"
미드나이트,20198161,스릴러,권오승,"진기주(경미), 위하준(도식), 박훈(종탁), 길해연(경미 엄마), 김혜윤(소정)"
아야와 마녀,20217692,애니메이션,Null,Null
킬러의 보디가드 2,20217950,"액션,코미디,범죄",패트릭 휴즈,"라이언 레이놀즈, 사무엘 L. 잭슨, 셀마 헤이엑, 모건 프리먼, 안토니오 반데라스"
사랑하고 사랑받고 차고 차이고,20216581,"드라마,멜로/로맨스",미키 타카히로,"하마베 미나미, 키타무라 타쿠미"
"그 여름, 가장 차가웠던",20218067,드라마,주순,"등은희, 이감"
