gmovie,gdate,gaudience,ggenre,gopendate,gdirec,gactor,gmovie_id
한산: 용의 출현,2022-10-26,2,"액션,드라마",2022-07-27,김한민,"박해일,이정태,변요한,안성기,손현주,김성규,김성균,김향기,옥택연,공명,박지환,조재윤,윤제문,박훈,윤진영,김강일,박재민,이서준,김민재,김재영,김구택,손경원,안성봉,이운산,김영웅,공정환,배현성,김대명,정예훈,김한민,김기호,김기환,강신구,김영탁,김공,이재한,정제우,정연,윤대열,김리우,김현태,현봉식,김범석,고한민,문승배,강덕중,서상원,김영찬,배명진,곽민호,정준화,황무영,안태준,이의령,안치욱,강병욱,김호연,김태근,고기영,이보영,홍윤,박선교,김동훈,서세명,박형준,이진민,이규탁,남현우,윤상원,이지운,문바롬,김태희,김동현,김우현,남상우,김현승,양동혁,오누리,한봄,박재이,김진희,강리안,박혜영,강보라,김지아,이다혜,김효주,한송희,한상경,김진형,오지훈,이루겸,최홍락,방병현,황성웅,김이담,김경태,김건보,이동빈,유건기,위민국,정동근,최돈학,권용덕,김용준,김한솔,김현우,강성락,이종욱,윤상영,김영호,이건록,장한솔,정현옥,이단,백태민,현직,손대민,이지영,김무섭,한동국,황민혁,조현수,김서준,채강,엄기영,손수호,이상호,민주호,오창후,김형석,구본혁,우혁,김명곤,문숙,이준혁","한산: 용의 출현액션,드라마김한민"
늑대사냥,2022-10-26,29,"액션,범죄",2022-09-21,김홍선,"서인국,장동윤,최귀화,성동일,박호산,정소민,고창석,장영남,손종학,이성욱,홍지윤,정문성,임주환,권오율,김문학,김찬형,정수교,심우성,정재훈,유현수,김기창,엄준기,박봉준,신성민,강신철,이승훈,박민석,안지혜,강정우,김대한,김진만,조성구,윤기창,김철윤,송지혁,손현준,양승호,전우재,김해준,지남혁,김성령,정원영,장재호,김민철,이종윤,조형래,김태준,서석규,윤돈선,최현준,김원중,이재호,조기태,박선준,정하준,서정우,황명환,구민혁,임지섭,이원행,최우빈,장솔,김재명,안현준,김선민,신동력,김현,차영주,김용훈,조연희,최상식,박승진,천재홍,유상재,장주완,강용규,황인환,이병호,이충식,이원행,최광휘,김대연,송원종,이혜미,이시안,이정우,한태양,김태윤,김민수,김정훈,김세중,정시훈,최영우,안현준,김한준,이성민,김현진,김바비,서정빈,백승익,송원종,김대근,안현준,최광휘,송지민,김민석,김도환,서정원,신승환,정성일,권율,권수현,이홍내,김강훈,전혜원,박성현","늑대사냥액션,범죄김홍선"
헌트,2022-10-26,4,"액션,드라마",2022-08-10,이정재,"이상혁,이정재,정우성,전혜진,허성태,고윤정,김종수,정만식,임형국,정경순,정재성,송영창,강경헌,임성재,정성모,손성호,김학선,오만석,김문찬,박건우,이채은,김윤도,송덕호,이서한,장서경,김찬형,송철호,김형범,경성환,윤정섭,최우준,정재현,이정민,김효준,차래형,박중근,홍성덕,박윤희,문정대,이도국,이한주,고서희,손경원,이태형,조진결,고경만,김호준,김은우,정종우,박민이,윤대열,김완수,김결,김덕주,민경옥,김송일,이가경,차우진,박민정,옥주리,조광유,박도영,조혜린,박병관,이도헌,이주안,손승범,장재혁,박인국,문유성,김동형,김시원,배정환,이시안,정상균,박영준,최기표,김재환,남열,태윤,박형준,백승우,이찬희,전현석,김준한,장나라,이웅규,이지영,진가민,허윤,권민경,이재원,김명선,김의신,조영미,최은애,백경윤,박서희,박민정,김기태,김재환,김한솔,서문호,여이레,이도군,홍지원,황정민,이성민,유재명,박성웅,조우진,김남길,주지훈,정용식,김동규,김동훈","헌트액션,드라마이정재"
대무가,2022-10-26,142,"드라마,코미디",2022-10-12,이한종,"박성웅,양현민,류경수,정경호,서지유,남태우,기주봉,백현주,문창길,이용녀,김경익,박재홍,곽연근,이동희,양승호,서태성,이하늬,이태룡,권기하,이채현,이용희,홍민수,김준희,유순웅,선학,이가경,전재형,한이진,조기성,강홍렬,최재호,김서영,신승균,김동윤,윤현준,노형원,박정욱,정은성,곽지명,임은지,백란희,오혜현,이한누리,김진,오하늬,양경희,정효진,한재욱,홍준기,이준상,양정두,김다니엘,한동호,장명진,오창석,최한규,양준명,변만후,양경수,김바다,이하형,주광현,김주경,최진혁,나대남,조미라,김근영,허성우,김성하,이경재,서임철,최나무,김봉수,윤효식,임상희,윤경호,오대환,홍서준,서진원,한선화,최참사랑,김용완","대무가드라마,코미디이한종"
공조2: 인터내셔날,2022-10-26,5695,"액션,코미디",2022-09-07,이석훈,"현빈,유해진,임윤아,다니엘 헤니,진선규,장영남,박훈,임성재,윤상화,박민하,전국환,전배수,이해영,서동원,이승훈,이제연,박형수,이민지,박종환,송영근,김중희,최동구,설찬미,서동복,박진수,김경식,변경록,정의순,이동용,남성준,김태수,우정국,김성인,전민,김태향,유비,우석준,현직,김관모,주재후,류경환,신욱,김선희,박광렬,황두하,전종석,신영훈,김병오,박재홍,임세인,김철윤,장현진,함태인,김진우,정윤하,강덕중,최미라,한은수,황인덕,정성인,명채미,최유지,추정훈,김원해,조달환","공조2: 인터내셔날액션,코미디이석훈"
육사오(6/45),2022-10-26,156,코미디,2022-08-24,박규태,"고경표,이이경,음문석,박세완,이순원,곽동연,김민호,류승수,윤병희,이준혁,신원호,남도윤,서정우,최민혁,배한솔,정상철,강길준,김건우,김슬민,오병곤,윤지용,박치우,이학주,김관모,홍민기,김민규,김백겸,문경민,박혁진,유병수,이태경,윤지홍,손경표,강운,최현태,서한돌,이동환,구본혁,김진형,송호제,신문선,이건록,이동기,이수,이시안,이지운,정시훈,채원우,최기표,황민혁,황태훈,최원,서지원,오혜금,편한마음,김재민,이종훈,조미초,이예진,정인기,박희진,이현걸,오현수,정용식",육사오(6/45)코미디박규태
정직한 후보2,2022-10-26,1931,코미디,2022-09-28,장유정,"라미란,김무열,윤경호,서현우,박진주,윤두준,김용림,신재휘,배해선,성열석,이진희,장원형,박주용,임영우,신윤정,김귀선,하성광,정영기,류경환,정예훈,이혜라,홍승균,한창현,정혜경,한동호,김석영,채수연,박선혜,오재세,김아라,유형준,임태훈,정우혁,유일한,문규민,이재은,강숙,조용환,변동욱,홍인아,김태율,황우상,유영복,박재완,오규택,이은석,차정민,오윤수,이명자,이순풍,임용순,김동인,나호숙,김지혜,임승묵,이태영,유준상,김재화,김지성,온주완,윤사봉,나문희",정직한 후보2코미디장유정
헤어질 결심,2022-10-26,126,"미스터리,멜로/로맨스",2022-06-29,박찬욱,"박해일,탕웨이,이정현,고경표,김신영,정영숙,유승목,서현우,정이서,이학주,정소리,신안진,김도연,고민시,차서원,주인영,윤성원,최선자,진용욱,안진상,박정민,박용우,정하담,최대훈,김미화,곽은진,안성봉,김성곤,문순주,현직,한서울,김도담,문정대,유인혜,권혁성,차상도,강경수,유태오,이지하,전성애,이경민,이용녀,김귀례,김도담,유다솜,김민준,김국진,김상현","헤어질 결심미스터리,멜로/로맨스박찬욱"
윤희에게,2022-10-26,18,멜로/로맨스,2019-11-14,임대형,"김희애,나카무라 유코,김소혜,성유빈,김학선,한송희,유재명,윤태희,정은경,정태오,이원자,정수언,안종숙,이충재,박종혁,한정수,오진주,오진주,박지수,류명한,박미란,송경수,이문희,김성욱,김용제,김지환,박용구,심준보,연대웅,이주환,조현진,홍길표,황성식,김소희,김유비,김찬,김태래,박윤호,서동민,서현진,이하늘,최예린,한승민",윤희에게멜로/로맨스임대형
카트,2022-10-26,119,드라마,2014-11-13,부지영,"염정아,문정희,김영애,김강우,이승준,도경수,김민경,김선간,김지은,김지현,김현,이고운,이승준,이주현,이지혜,김수안,지우,길해연,황정민,김희원,박미현,송지인,장리우,목규리,박수영,이창훈,천우희,박지연,박성연,이선희,이정은,김가영,이선주,정경섭,박혜진,김비비,최병윤,윤상훈",카트드라마부지영
