영화제목,코드,장르,감독,주연배우
외계+인 1부,20208446,"액션,판타지,SF",최동훈,"류준열(무륵), 김우빈(가드/썬더), 김태리(이안), 소지섭(문도석), 염정아(흑설), 조우진(청운), 김의성(자장/의사), 이하늬(민개인)"
미니언즈2,20205362,"애니메이션,어드벤처,코미디",카일 발다,"피에르 꼬팽(밥/케빈/스튜어트/미니언즈), 스티브 카렐(그루), 타라지 P. 헨슨(벨 바텀)"
탑건: 매버릭,20194376,액션,조셉 코신스키,"톰 크루즈, 마일즈 텔러, 제니퍼 코넬리"
헤어질 결심,20209654,"미스터리,멜로/로맨스",박찬욱,"박해일(해준), 탕웨이(서래), 이정현(정안)"
토르: 러브 앤 썬더,20224662,"액션,어드벤처,판타지",타이카 와이티티,"크리스 헴스워스, 나탈리 포트만, 테사 톰슨, 크리스찬 베일, 타이카 와이티티, 크리스 프랫"
명탐정 코난: 할로윈의 신부,20225237,애니메이션,Null,Null
썸머 필름을 타고!,20225293,기타,마츠모토 소우시,"이토 마리카(맨발), 카네코 다이치(린타로), 카와이 유미(킥보드), 이노리 키라라(블루 하와이)"
컴온 컴온,20212317,드라마,마이크 밀스,"호아킨 피닉스, 우디 노먼, 가비 호프만"
범죄도시 2,20204548,"범죄,액션",이상용,"마동석(마석도), 손석구(강해상), 최귀화(전일만)"
엘비스,20225175,드라마,바즈 루어만,"오스틴 버틀러, 톰 행크스, 올리비아 데종"
그레이 맨,20224791,"액션,스릴러",안소니 루소|조 루소,"라이언 고슬링, 크리스 에반스, 아나 디 아르마스, 레게-장 페이지"
로스트 도터,20210542,드라마,매기 질렌할,"올리비아 콜맨(레다), 다코타 존슨(니나), 제시 버클리(젊은 레다)"
뒤틀린 집,20225180,"공포(호러),드라마,스릴러",강동헌,"서영희(명혜), 김민재(현민), 김보민(희우)"
더 킬러: 죽어도 되는 아이,20225186,액션,최재훈,"장혁(의강), 이승준(이형사)"
니얼굴,20209297,다큐멘터리,서동일,"장차현실, 정은혜"
체리마호: 30살까지 동정이면 마법사가 될 수 있대,20225238,"판타지,멜로/로맨스",카자마 히로키,"아카소 에이지, 마치다 케이타, 유타로, 아사카 코다이"
"아치의 노래, 정태춘",20211568,다큐멘터리,고영재,"정태춘, 박은옥"
큐어,19978805,공포(호러),구로사와 기요시,"나카가와 안나, 하기와라 마사토, 야쿠쇼 코지"
뿌까의 짜장면파티,20225637,기타,박상용,"유진주(뿌까), 임종웅(가루), 이은정(또베), 박중언(링링), 김기영(아둥가/아토), 임재홍(미미,아둥가), 신지윤(뿌까), 김민아(링링), 이지현(미미), 김은미(또베,아토), 엄상현(가루,돈킹)"
멘,20224713,"드라마,공포(호러),SF",알렉스 가랜드,"제시 버클리(하퍼), 로리 키니어(제프리)"
극장판 주술회전 0,20223278,애니메이션,박성후,"오가타 메구미(옷코츠 유타), 하나자와 카나(오리모토 리카), 코마츠 미카코(젠인 마키), 우치야마 코우키(이누마키 토게), 세키 토모카즈(판다), 나카무라 유이치(고죠 사토루), 사쿠라이 타카히로(게토 스구루)"
브로커,20206257,드라마,고레에다 히로카즈,"송강호(상현), 강동원(동수), 배두나(수진), 이지은(소영), 이주영(이형사)"
룸 쉐어링,20224757,드라마,이순성,"나문희(금분 ), 최우성(지웅 )"
