번호,날짜,영화제목,관객수,개봉일
1,2020-10-20,소리도 없이,20730,2020-10-15
2,2020-10-20,담보,14600,2020-09-29
3,2020-10-20,테넷,3021,2020-08-26
4,2020-10-20,삼진그룹 영어토익반,2587,2020-10-21
5,2020-10-20,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",1993,2020-09-29
6,2020-10-20,돌멩이,1204,2020-10-15
7,2020-10-20,언힌지드,1067,2020-10-07
8,2020-10-20,폰조,1015,2020-10-14
9,2020-10-20,그린랜드,876,2020-09-29
10,2020-10-20,국제수사,705,2020-09-29
11,2020-10-20,기기괴괴 성형수,702,2020-09-09
12,2020-10-20,"어디갔어, 버나뎃",675,2020-10-08
13,2020-10-20,애프터: 그 후,485,2020-10-07
14,2020-10-20,남과 여: 여전히 찬란한,394,2020-10-15
15,2020-10-20,밥정,356,2020-10-07
16,2020-10-20,극장판 요괴워치: 포에버 프렌즈,329,2020-10-15
17,2020-10-20,담쟁이,247,2020-10-28
18,2020-10-20,부활: 그 증거,220,2020-10-08
19,2020-10-20,브레이크 더 사일런스: 더 무비,219,2020-09-24
20,2020-10-20,프록시마 프로젝트,217,2020-10-15
21,2020-10-20,종이꽃,203,2020-10-22
22,2020-10-20,아웃포스트,189,2020-09-23
23,2020-10-20,교실 안의 야크,184,2020-09-30
24,2020-10-20,안녕까지 30분,178,2020-10-14
25,2020-10-20,그리드,176,2020-10-15
26,2020-10-20,알피니스트 - 어느 카메라맨의 고백 ,151,2020-10-15
27,2020-10-20,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,132,2020-09-30
28,2020-10-20,오! 문희,131,2020-09-02
29,2020-10-20,잔다르크,125,1111-11-11
30,2020-10-20,극장판 미니특공대: 햄버거괴물의 습격,111,2020-09-30
31,2020-10-20,마르지엘라,89,2020-09-30
32,2020-10-20,기묘한 이야기: 리플레이,89,2020-08-23
33,2020-10-20,죽이는 여자,86,2020-08-23
34,2020-10-20,무협: 더 코드,83,2020-06-22
35,2020-10-20,해수의 아이,81,2020-09-30
36,2020-10-20,사냥의 시간: 데스 게임,80,2020-06-22
37,2020-10-20,블러드: 궁금한 이야기,74,2020-06-15
38,2020-10-20,노가다,73,1111-11-11
39,2020-10-20,맨슨 패밀리,71,2020-06-15
40,2020-10-20,가스등,67,1111-11-11
41,2020-10-20,검객,66,2020-09-23
42,2020-10-20,트라이얼 오브 더 시카고 7,65,2020-10-07
43,2020-10-20,나의이름,59,2020-10-14
44,2020-10-20,동아시아반일무장전선,49,2020-08-20
45,2020-10-20,"구름의 저편, 약속의 장소",47,2017-02-28
46,2020-10-20,초속5센티미터,47,2007-06-21
47,2020-10-20,오명,44,1111-11-11
48,2020-10-20,뮬란,39,2020-09-17
49,2020-10-20,남매의 여름밤,38,2020-08-20
50,2020-10-20,죽지않는 인간들의 밤,37,2020-09-29
51,2020-10-20,여로,28,1111-11-11
52,2020-10-20,포기와 베스,28,2020-10-06
53,2020-10-20,삼손과 데릴라,26,1974-12-21
54,2020-10-20,피원에이치 : 새로운 세계의 시작 ,24,2020-10-08
55,2020-10-20,보테로,24,2020-09-24
56,2020-10-20,밀회,21,1111-11-11
57,2020-10-20,도망친 여자,21,2020-09-17
58,2020-10-20,투우사와 숙녀,21,1111-11-11
59,2020-10-20,회전목마,20,1111-11-11
60,2020-10-20,날씨의 아이,20,2019-10-30
61,2020-10-20,강철비2 : 정상회담 확장판,19,2020-09-30
62,2020-10-20,마미,17,2014-12-18
63,2020-10-20,프란시스 하,16,2014-07-17
64,2020-10-20,마틴 에덴,14,2020-10-29
65,2020-10-20,하이 눈,13,1111-11-11
66,2020-10-20,카일라스 가는 길,12,2020-09-03
67,2020-10-20,너의 이름은.,11,2017-01-04
68,2020-10-20,극장판 엉덩이 탐정: 텐텐마을의 수수께끼,11,2020-09-24
69,2020-10-20,디바,9,2020-09-23
70,2020-10-20,피아니스트,9,2003-01-01
71,2020-10-20,알제리 전투,9,2009-10-15
72,2020-10-20,犬견 : 버려진 아이들,8,2020-10-18
73,2020-10-20,유쾌한 과부,8,2020-10-02
74,2020-10-20,뮤지컬 버드나무에 부는 바람,8,2020-10-07
75,2020-10-20,우리가 이별 뒤에 알게 되는 것들,8,2020-09-30
76,2020-10-20,테스와 보낸 여름,6,2020-09-10
77,2020-10-20,파 프롬 헤븐,6,2003-05-23
78,2020-10-20,스윈들러,6,2020-10-08
79,2020-10-20,공포분자,6,2020-09-17
80,2020-10-20,이삭줍는 사람들과 나,4,1111-11-11
81,2020-10-20,후쿠오카,4,2020-08-27
82,2020-10-20,본 투 비 블루,4,2016-06-09
83,2020-10-20,트롤 킹,4,2020-10-07
84,2020-10-20,마샤와 곰: 최고 중에 최고,3,2020-10-08
85,2020-10-20,다시 만난 날들,3,2020-09-24
86,2020-10-20,예티: 신비한 동물 탐험대,3,2020-10-08
87,2020-10-20,나를 구하지 마세요,3,2020-09-10
88,2020-10-20,필로우 토크,3,1111-11-11
89,2020-10-20,69세,2,2020-08-20
90,2020-10-20,주사기 : 주사꾼들 이야기,2,1111-11-11
91,2020-10-20,소년 아메드,2,2020-07-30
92,2020-10-20,마티아스와 막심,2,2020-07-23
93,2020-10-20,걸작,2,2019-07-01
94,2020-10-20,낙엽귀근,1,2020-09-24
95,2020-10-20,터칭 더 보이드,1,2020-09-24
96,2020-10-20,스와핑 : 내 아내의 친구,1,2020-10-20
97,2020-10-20,주식회사 스페셜액터스,1,2020-08-06
98,2020-10-20,셰이프 오브 뮤직: 알렉상드르 데스플라,1,2020-08-13
99,2020-10-20,소년시절의 너,1,2020-07-09
100,2020-10-20,여름날,1,2020-08-20
101,2020-10-20,타임 패러독스,1,2015-01-07
102,2020-10-20,연애 : 아빠친구,1,2020-10-20
103,2020-10-20,어느 가족,1,2018-07-26
104,2020-10-20,섹스남녀 : 우린 속 궁합이 잘 맞아 ,1,2020-10-20
105,2020-10-20,엄마의 사랑,1,2020-10-20
106,2020-10-20,톰보이,0,2020-05-14
107,2020-10-20,백년의 기억,0,2020-06-11
108,2020-10-20,"안녕, 미누",0,2020-05-27
109,2020-10-21,삼진그룹 영어토익반,37412,2020-10-21
110,2020-10-21,소리도 없이,15500,2020-10-15
111,2020-10-21,담보,12676,2020-09-29
112,2020-10-21,테넷,2481,2020-08-26
113,2020-10-21,에브리타임 아이 다이,1061,2020-10-21
114,2020-10-21,기기괴괴 성형수,705,2020-09-09
115,2020-10-21,돌멩이,672,2020-10-15
116,2020-10-21,21 브릿지: 테러 셧다운 ,627,2020-01-01
117,2020-10-21,폰조,411,2020-10-14
118,2020-10-21,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",405,2020-09-29
119,2020-10-21,극장판 요괴워치: 포에버 프렌즈,349,2020-10-15
120,2020-10-21,남과 여: 여전히 찬란한,347,2020-10-15
121,2020-10-21,언힌지드,329,2020-10-07
122,2020-10-21,그린랜드,308,2020-09-29
123,2020-10-21,밥정,277,2020-10-07
124,2020-10-21,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,259,2020-09-30
125,2020-10-21,브레이크 더 사일런스: 더 무비,256,2020-09-24
126,2020-10-21,"어디갔어, 버나뎃",256,2020-10-08
127,2020-10-21,여기가 천국,229,1111-11-11
128,2020-10-21,애프터: 그 후,199,2020-10-07
129,2020-10-21,프록시마 프로젝트,199,2020-10-15
130,2020-10-21,웰컴 투 X-월드,193,2020-10-29
131,2020-10-21,원더풀 데이즈,191,2003-07-17
132,2020-10-21,젊은이의 양지,188,2020-10-28
133,2020-10-21,교실 안의 야크,170,2020-09-30
134,2020-10-21,페뷸러스,154,2020-11-05
135,2020-10-21,부활: 그 증거,149,2020-10-08
136,2020-10-21,국제수사,143,2020-09-29
137,2020-10-21,베이비티스,142,2020-10-22
138,2020-10-21,그리드,129,2020-10-15
139,2020-10-21,잔다르크,125,1111-11-11
140,2020-10-21,노사리:순간의 영원,121,1111-11-11
141,2020-10-21,아웃포스트,114,2020-09-23
142,2020-10-21,마틴 에덴,107,2020-10-29
143,2020-10-21,무협: 더 코드,105,2020-06-22
144,2020-10-21,알피니스트 - 어느 카메라맨의 고백 ,103,2020-10-15
145,2020-10-21,맨슨 패밀리,101,2020-06-15
146,2020-10-21,종이꽃,100,2020-10-22
147,2020-10-21,죽이는 여자,99,2020-08-23
148,2020-10-21,마르지엘라,98,2020-09-30
149,2020-10-21,블러드: 궁금한 이야기,98,2020-06-15
150,2020-10-21,기묘한 이야기: 리플레이,95,2020-08-23
151,2020-10-21,사냥의 시간: 데스 게임,92,2020-06-22
152,2020-10-21,극장판 미니특공대: 햄버거괴물의 습격,88,2020-09-30
153,2020-10-21,예티: 신비한 동물 탐험대,73,2020-10-08
154,2020-10-21,뮬란,66,2020-09-17
155,2020-10-21,남매의 여름밤,61,2020-08-20
156,2020-10-21,SISFF2020 SISFF명예의 전당,61,1111-11-11
157,2020-10-21,주부남편의 발기찬 바깥생활 무삭제,60,2020-10-21
158,2020-10-21,가스등,54,1111-11-11
159,2020-10-21,안녕까지 30분,52,2020-10-14
160,2020-10-21,살로메 ,45,2020-09-20
161,2020-10-21,보테로,42,2020-09-24
162,2020-10-21,해수의 아이,38,2020-09-30
163,2020-10-21,7인의 신부,36,1972-12-24
164,2020-10-21,공포분자,34,2020-09-17
165,2020-10-21,프란시스 하,29,2014-07-17
166,2020-10-21,트라이얼 오브 더 시카고 7,29,2020-10-07
167,2020-10-21,도망친 여자,28,2020-09-17
168,2020-10-21,겟어웨이,25,1978-05-11
169,2020-10-21,날씨의 아이,24,2019-10-30
170,2020-10-21,리스본행 야간열차,23,2014-06-05
171,2020-10-21,우리가 이별 뒤에 알게 되는 것들,22,2020-09-30
172,2020-10-21,엄마의 직업 2,20,2020-10-21
173,2020-10-21,초속5센티미터,19,2007-06-21
174,2020-10-21,카일라스 가는 길,19,2020-09-03
175,2020-10-21,69세,19,2020-08-20
176,2020-10-21,극장판 엉덩이 탐정: 텐텐마을의 수수께끼,17,2020-09-24
