리뷰번호,영화제목,리뷰내용,리뷰별점,총점,리뷰작성일자
18526878,인생은 아름다워,,10,10,2022-11-07
18526877,12 솔져스,크게 기대 안하고 보았는데 나름 볼만 했네요ㅋㅋ,8,10,2022-11-07
18526876,외계+인 1부,처음 개봉했을때 저게 뭔가했는데 생각보다 재밌게 보았습니다 그런데 너무 섞은거같기도하고 어디선가 본듯한 장면이 많은듯.. 그래픽은 놀랍습니다. 결말이 안나면서 후반부도 비슷한 패턴이라 피로감이..도전은 멋지고 높이 삽니다.,8,10,2022-11-07
18526875,탑,그날 밤 꿈에...,8,10,2022-11-07
18526874,한산: 용의 출현,박해일이 이순신으로 어울리지 않았어.주인공인데 대사도 너무 없고.. 난 좀 별로였음,6,10,2022-11-07
18526873,강릉,내용이  뭐야  처음에 배에 왜 장혁이 있었는지 짱개인지 뭔 지  아무것도 말안하고 ,5,10,2022-11-07
18526872,카사블랑카,재미있어요,10,10,2022-11-07
18526871,삼손,기대안하고 봤는데 나쁘지 않았음 ,8,10,2022-11-07
18526870,자백,이 영화는 너무 반전이며 신기하고 너무 깜짝놀랐다. 이 영화는 미스터리 영화중에 하나로 꼽힌다!!!,8,10,2022-11-07
18526869,나를 죽여줘,자위얘기만 나오는 3류영화라서 중간에 꺼버렷다,1,10,2022-11-07
18526868,블랙 아담,아쉽지만 재미있어요,7,10,2022-11-07
18526867,블랙 아담,최근에 본 히어로물중 최고 ㅎ그런데 누가 이렇게 평점 떨어뜨리는건지..,10,10,2022-11-07
18526866,연애,꽤 괜찮게 보았다. 주변 인물들 상황이나 개성도 좋다. 사람은 누구에게나 순수한 부분은 가지고 있다. 연애라는 허울은 사랑이 조건인가?,8,10,2022-11-07
18526865,에브리씽 에브리웨어 올 앳 원스,영화가 왜 종합 예술인지 정확히 알려준 작품,10,10,2022-11-07
18526864,브이 포 벤데타,재미있어요,10,10,2022-11-07
18526863,외계+인 1부,"다채로운 내용과 여러 배우들 봐서 좋은데(특히 김우빈 최고) 재미있진 않네요! 그래도 이런 장르, 도전정신에 박수를!!",8,10,2022-11-07
18526862,블랙 아담,메가톤급 액션의 짜릿함 + 정의에 대한 질문(정의란 무엇인가? 정의 구현을 위한 폭력 행위는 정당한가?...),9,10,2022-11-07
18526861,초선,다큐가 이렇게 시간이 빨리 지나가도 되나요~??? 무엇보다 감독님의 중립적인 시선이 가장 좋았던 영화였습니다,10,10,2022-11-07
18526860,고속도로 가족,배우들 연기가 다 좋아서 재밌게 봤어요~^^특히 정일우배우 연기 너무 잘해서  살짝 무섭기도ㅎㅎ,10,10,2022-11-07
18526859,패밀리 맨,평범한 삶은 화려한 삶과는 다른 결의 아름다움을 갖고 있다,10,10,2022-11-07
18526858,블랙 아담,,10,10,2022-11-07
18526857,어벤져스: 인피니티 워,할리우드 슈퍼히어로 영화의 어떤 경지,8,10,2022-11-07
18526856,리스본행 야간열차,대사 한마디 한마디가 심장을 크게 울린다 ㅜㅜ 그리고 리스본의 풍경이 너무 아름다웠음... 유럽 예술영화 마니아가 왜 많은지 알 거 같았던 영화,10,10,2022-11-07
18526855,문라이즈 킹덤,누군가에게 선물하기 위해 가장 아릅답게 꾸미고 포장한 동화책,7,10,2022-11-07
18526854,미혹,"연출, 연기 모두 좋았음. 최근 나온 한국 공포영화 중에 제일 재밌게 봤음:)",10,10,2022-11-07
18526853,스위밍 풀,젊은 여자주인공이 나를 불끈불끈하게 만들었기에 만점을 매겨본다..♡,10,10,2022-11-07
18526852,그랜드 부다페스트 호텔,가본 적이 없는 시대에 대한 향수를 느끼는 어느 집요한 감독의 강박적인 풍경화,10,10,2022-11-07
18526851,리멤버,국민의 짐 니XX들이 볼 영화다,10,10,2022-11-07
18526850,에브리씽 에브리웨어 올 앳 원스,엄마없인 못살아도 엄마랑은 못살아,6,10,2022-11-07
18526849,20세기 소녀,너무 뻔한 청춘 로맨스인데 감동도 재미도 없다.,1,10,2022-11-07
