영화제목,코드,장르,감독,주연배우
미션 파서블,20199541,"코미디,액션",김형주,"김영광(우수한), 이선빈(유다희)"
소울,20207443,애니메이션,피트 닥터,"제이미 폭스, 티나 페이"
극장판 귀멸의 칼날: 무한열차편,20200703,애니메이션,소토자키 하루오,"하나에 나츠키, 키토 아카리, 시모노 히로, 마츠오카 요시츠구, 히노 사토시, 히라카와 다이스케"
해리 포터와 불의 잔,20050310,"액션,판타지",마이크 뉴웰,"다니엘 래드클리프(해리 포터), 루퍼트 그린트(론 위즐리), 엠마 왓슨(헤르미온느 그레인저), 랄프 파인즈(볼드모트)"
새해전야,20190323,"멜로/로맨스,코미디",홍지영,"김강우(지호), 유인나(효영), 유연석(재헌), 이연희(진아), 이동휘(용찬), 천두링(야오린), 염혜란(용미), 유태오(래환), 최수영(오월), 이희원(경기 중계진 목소리 · 스탠드 인), 이유진(경기 중계진 목소리 · 스탠드 인)"
퍼펙트 케어,20214848,"범죄,스릴러",J 블레이크슨,"로자먼드 파이크, 피터 딘클리지, 에이사 곤잘레스, 다이앤 위스트"
몬스터 헌터,20214981,"액션,어드벤처",폴 W.S. 앤더슨,"밀라 요보비치, 토니 자"
더블패티,20200311,드라마,백승환,"신승호(우람), 배주현(현지)"
엘프,20202289,애니메이션,Null,Null
아이,20209627,드라마,김현탁,"김향기(아영), 류현경(영채), 염혜란(미자)"
마리오네트,20202812,"미스터리,스릴러",앨버트 반 스트리엔,"데클라 루튼, 피터 뮬란"
빛과 철,20198501,드라마,배종대,"김시은(희주), 염혜란(영남), 박지후(은영)"
송가인 더 드라마 ,20215810,공연,이태슬|김성윤,송가인
디지몬 어드벤처 : 라스트 에볼루션 인연,20216141,"애니메이션,어드벤처",타구치 토모히사,"하나에 나츠키(야가미 타이치), 사카모토 치카(아구몬)"
인투 더 미러,20214941,"SF,스릴러",아이작 에즈반,"마르틴 발스트룀(노엘), 조지아 킹(리나), 마크 오브라이언(조쉬), 에멜 아민(데빈)"
드림빌더,20203009,"애니메이션,어드벤처,가족,판타지",Null,Null
