번호,날짜,영화제목,관객수,개봉일
1,2021-02-21,미션 파서블,52970,2021-02-17
2,2021-02-21,소울,38430,2021-01-20
3,2021-02-21,극장판 귀멸의 칼날: 무한열차편,24457,2021-01-27
4,2021-02-21,해리 포터와 불의 잔,3945,2005-12-01
5,2021-02-21,새해전야,3688,2021-02-10
6,2021-02-21,퍼펙트 케어,3310,2021-02-19
7,2021-02-21,몬스터 헌터,2159,2021-02-10
8,2021-02-21,더블패티,1603,2021-02-17
9,2021-02-21,엘프,1401,2021-02-10
10,2021-02-21,아이,1242,2021-02-10
11,2021-02-21,마리오네트,1119,2021-02-17
12,2021-02-21,빛과 철,939,2021-02-18
13,2021-02-21,송가인 더 드라마 ,894,2021-02-11
14,2021-02-21,디지몬 어드벤처 : 라스트 에볼루션 인연,799,2021-02-17
15,2021-02-21,인투 더 미러,778,2021-02-17
16,2021-02-21,드림빌더,735,2021-02-10
17,2021-02-21,해피 투게더,725,1998-08-22
18,2021-02-21,해변의 에트랑제,641,2021-02-18
19,2021-02-21,클로저,562,2005-02-03
20,2021-02-21,시간의 끝에서 널 기다려,493,2021-02-17
21,2021-02-21,고백,441,2021-02-24
22,2021-02-21,세자매,408,2021-01-27
23,2021-02-21,비포 미드나잇,390,2013-05-22
24,2021-02-21,2046,353,2004-10-15
25,2021-02-21,화양연화,321,2000-10-20
26,2021-02-21,ARKO LIVE 뮤지컬 시데레우스,321,2021-02-11
27,2021-02-21,어니스트 씨프,271,2021-02-03
28,2021-02-21,타락천사,262,1995-12-23
29,2021-02-21,소년시절의 너,257,2020-07-09
30,2021-02-21,"구라, 베토벤",231,2021-02-25
31,2021-02-21,명탐정 코난: 진홍의 수학여행,225,2021-01-27
32,2021-02-21,레이니 데이 인 뉴욕,223,2020-05-06
33,2021-02-21,원더,217,2017-12-27
34,2021-02-21,로그시티,211,2021-02-11
35,2021-02-21,더 파더,179,2021-04-07
36,2021-02-21,중경삼림,156,1995-09-02
37,2021-02-21,페어웰,155,2021-02-04
38,2021-02-21,열혈남아,152,1989-10-14
39,2021-02-21,간이역,142,2021-02-18
40,2021-02-21,부에노스 아이레스 제로 디그리,140,1111-11-11
41,2021-02-21,엽기적인 그녀,140,2001-07-26
42,2021-02-21,나는 나를 해고하지 않는다,134,2021-01-28
43,2021-02-21,용루각2: 신들의 밤,123,2021-02-10
44,2021-02-21,더 울프 오브 월스트리트,122,2014-01-09
45,2021-02-21,프라미싱 영 우먼,118,2021-02-24
46,2021-02-21,아비정전,116,1990-12-22
47,2021-02-21,폴리스,100,2021-02-10
48,2021-02-21,세상의 모든 디저트: 러브 사라,95,2021-02-04
49,2021-02-21,맨체스터 바이 더 씨,84,2017-02-15
50,2021-02-21,트라이얼 오브 더 시카고 7,74,2020-10-07
51,2021-02-21,포제서,68,2021-03-11
52,2021-02-21,에로스: 왕가위 감독 특별판,68,1111-11-11
53,2021-02-21,스트레스 제로,65,2021-02-03
54,2021-02-21,산 파블로,64,1111-11-11
55,2021-02-21,극장판 바이올렛 에버가든,60,2020-11-12
56,2021-02-21,이다,58,2015-02-18
57,2021-02-21,너의 이름은.,55,2017-01-04
58,2021-02-21,부활: 그 증거,53,2020-10-08
59,2021-02-21,살아남은 사람들,49,2021-02-10
60,2021-02-21,스포트라이트,46,2016-02-24
61,2021-02-21,캐롤,45,2016-02-04
62,2021-02-21,라 당스,44,2013-08-22
63,2021-02-21,원 챈스,44,2014-03-13
64,2021-02-21,릴리 슈슈의 모든 것,43,2005-06-23
65,2021-02-21,날씨의 아이,43,2019-10-30
66,2021-02-21,아웃 원,37,1111-11-11
67,2021-02-21,더 프롬,35,2020-12-02
68,2021-02-21,문라이트,33,2017-02-22
69,2021-02-21,파티마의 기적 ,33,2020-12-03
70,2021-02-21,BBC프롬스: 아르헤리치와 바렌보임 콘서트,31,2021-02-02
71,2021-02-21,북스마트,29,2021-01-27
72,2021-02-21,동사서독 리덕스,27,2013-12-05
73,2021-02-21,관계의 가나다에 있는 우리는,23,2021-01-28
74,2021-02-21,추하고 더럽고 미천한,22,1111-11-11
75,2021-02-21,두 여인,22,1111-11-11
76,2021-02-21,전송가,18,1111-11-11
77,2021-02-21,일대종사,17,2013-08-22
78,2021-02-21,천사의 시,16,1111-11-11
79,2021-02-21,베로니카의 이중생활,15,1991-11-09
80,2021-02-21,십계 3편 : 안식일을 지키라,15,1111-11-11
