리뷰번호,영화제목,리뷰내용,리뷰별점,총점,리뷰작성일자
18514309,"나의 끝, 당신의 시작","['은행에서 신고하려고 깝치는 바람에 남친 총에 맞아 죽었는데 아무런 죄책감도 안 느끼고, 자기 때문에 남친이 그렇게 됐는데도 얼마 안 돼서 다른 남자랑 X을 치넼ㅋㅋ 그것도 남친 집에서, 남친이랑 뒹굴던 침대에섴ㅋㅋ 그러고선 아침에 일어나 남친 생각하면 질질 짜곸ㅋㅋㅋ 이래서 여자들을  개xx라고 하낰ㅋㅋㅋ']",1,10,22.10.28
18514308,공수도,['여자주인공 매력덩어리네'],10,10,22.10.28
18514307,인생은 아름다워,['인생영화.. 좋은 영화 만들어주셔서 감사합니다'],10,10,22.10.28
18514306,블랙 아담,['블랙이 역시 잘 어울려! 블랙이 역시 고급져!'],9,10,22.10.28
18514305,자백,['원작 보신분은 절대 보지마세요!!!정말로!!! 보면 후회!!!'],1,10,22.10.28
18514304,비트,['시대를 반영해도 이건 좀 아니네... 그 때 안보길 다행이구만'],5,10,22.10.28
18514303,20세기 소녀,"['간만에 본 재밌는 영화 , 옛날 고등학생 시절 추억 , 김유정 변우석 연기 최고']",10,10,22.10.28
18514302,20세기 소녀,['엔딩 진짜 너무 슬펐어요..엔딩이 너무 아쉬운데 아쉬운 만큼 여운도 많이 남고 기억에 많이 남을 인생 영화.. '],10,10,22.10.28
18514301,스콜피온 킹,['생각했던거보다 꿀잼인데?재미없을거같아서 이제껏안봤는데 이제서야봤는데재밌넹  역시 드웨인아재 나오는건 거즘다 재밌어ㅋ'],8,10,22.10.28
18514300,발신제한,"['이걸 정의라고.. 투자는 개인책임이고 직원은 일개직원일뿐, 감독은 사회생활하는지 몰라 ']",2,10,22.10.28
18514299,마담 싸이코,['보다가 껐다..안무서워서..하품 찍~~끌려고 했지만 뒤로 빨리 감아서 내용만 보려고했으나 역시 그냥 돌리다 껐다..왜 평점이 높을까..'],4,10,22.10.28
18514298,아메리칸 셰프,['감동적이네요기대이상이네요'],10,10,22.10.28
18514297,발신제한,['시작부터 쫄깃하고 무엇보다 극을 이끌어가는 조우진 배우의 힘이 대단함.'],10,10,22.10.28
18514296,리멤버,['개연성 살짝 떨어지는 것 빼면 개인의 복수극으로 보았을 때 볼 만 했었다.'],7,10,22.10.28
18514295,공조2: 인터내셔날,['뭐 그냥그런 한국 영화'],5,10,22.10.28
18514294,자백,['배우들 연기가 미쳤고반전에 반전.. 대충 엄마일거라는 예상은 했지만.. 여튼 재밌게 봤어요!'],10,10,22.10.28
18514293,메리다와 마법의 숲,['작화는 귀여웠지만 등장인물들을 비호감으로 만드는 억지스러운 전개였다'],7,10,22.10.28
18514292,스타게이저: 아스트로스코프,['저도 모르게 눈물이 나오네요ㅠㅠ'],10,10,22.10.28
18514291,어바웃 어 보이,['따뜻한 영화이때부터 니콜라스 홀트 팬됐음'],9,10,22.10.28
18514290,카터,['내 욕 하려고 평점 남깁니다. 감독은 앞으로 액션 하지 마세요. 그냥 애니매이션 감성. 애니 감독하시면 대성 할 듯 싶습니다. 내가 살인범이다 같은 현실성 있고 한정된 액션이 그나마 낫습니다. 한국 사람들은 뜬금 없는 전개 티 나는 CG 극혐 합니다. 쪽팔려 한다고요.'],1,10,22.10.28
18514289,스마일,['오랜만에 본 공포영화인데 예고편에 있는 내용이 스토리이지만 영화를 보고 예고편보면 안무섭다. 영화 속에서 놀래키는 부분 꽤 있고 음향이 좋아서 더 놀라는 것 같다. 신체 잘리는 부분 등이 있어서 청불이니 이런거 못보는 분은 안보시길..'],9,10,22.10.28
18514288,인생은 아름다워,['영화 내내 눈물이 나다가 엔딩크레딧 후 펑펑울어서 옆사람 눈치봄'],10,10,22.10.28
18514287,멘,['남성을 모르는 여성에게 남성을 알려주려고 했는데 이미 다 알고 있는 여자가 아닌이상 거의 알아듣지 못할 수준의 비유로 점철. 노력한것 치고는 결말이 너무 단순'],10,10,22.10.28
18514285,죽어도 자이언츠,['이 영화를 만드신 감독님 감사합니다!영화 감동이예요 롯데팬 모두가 아니 야구를 사랑하시는 분들 꼭 보세요 너무 재미있고 감동입니다♡♡♡'],10,10,22.10.28
18514284,죽어도 자이언츠,['1984 최동원도 극장에서 본 사람으로써이제 이런 추억팔이 너무 뻔하고 지겨운 레파토리 아닌가 싶다그렇다고 영상이 특출나지도 않다.구단 홍보차 유튜브에 틀어야할 영상을 왜 극장에서 돈받고 상영하고 있을까...이런거 극장에서 돈주고 볼 사람들이면 전부 롯데 골수팬일텐데이런 추억팔이로 골수팬들 감성 자극하지말고실력으로 우승해서 부산시민 전체에게 감동을 선사하는 구단이 되길...'],6,10,22.10.28
18514283,리멤버,[''],10,10,22.10.28
18514282,자백,['원작 있는 영화인것만 알고 자백을 봤는데..영화 보면서 이 영화를 리메이크 한거 구나 알게되면서 원작을 모르고 보면 더 재미있을 자백'],8,10,22.10.28
18514281,리멤버,['가슴 가슴이 깊어져요. ☆^^*!_%'],10,10,22.10.28
18514280,자백,['진짜 재밌어요 최근에 본 영화중에 제일제일 재밌었던..  스토리도 탄탄하고 소지섭 김윤진 나나 연기가 미쳤음'],10,10,22.10.28
18514279,오펀: 천사의 탄생,['에스더보다 가족이 더 사이코였음. 에스더 엄마는 지 아들새키가 지딸 죽일땐 가만있더니 지아들 죽으니까 눈뒤집히는거 ㄹㅇ 웃기긔 ㅋㅋㅋ 확실히 각성전 얘기라 그런가 에스더가 생각보다 약함. 엄마련 좀더 잔인하게 죽였어야 했는데ㅉ'],6,10,22.10.28
18514278,육사오(6/45),['재밋게 봣어요ㅋ 몰입감도 좋앗고 고경표님연기 넘 귀엽습니다'],10,10,22.10.28
18514277,행복을 찾아서,['감동입니다. 꼭 보세요.'],10,10,22.10.28
18514276,블랙 아담,['오랜만에 히어로물 제대로 나온듯'],10,10,22.10.28
18514275,자백,['스토리재밌고 처음부터끝까지 재밌게봤어요'],10,10,22.10.28
18514274,블랙 아담,['평점 무시하세요솔까 개재밌습니다'],10,10,22.10.28
18514273,카터,['평점은 처음 써보는데.. 살면서 가장 최악의 영화입니다.. 영화라는 말도 아까울정도네요.. 카메라 앵글과 무빙은 왜 그렇게 연출한건지 감독의 생각이 너무너무 궁금합니다..ㅋ 영화감독을 꿈꾸시는 분들이 보면 동기부여 될것같아요ㅋㅋㅋㅋ'],1,10,22.10.28
18514272,헤어질 결심,['뭔가빠진것같은... 남주연기는 참좋은데;;;아쉬웟어요'],4,10,22.10.28
18514271,복수혈전,['이경규 특유의 표정과 관절 빠드득 꺾기가 일품임 '],10,10,22.10.28
18514270,아는 여자,['다시 보아도 너무 좋네요~이나영 순수함 그 자체~^^ 너무 예쁘다!!!'],10,10,22.10.28
18514269,20세기 소녀,['진짜 3년만에 찾은 내 인생영화..'],10,10,22.10.28
