영화제목,코드,장르,감독,주연배우
블랙 아담,20226886,"액션,어드벤처,SF",자움 콜렛 세라,"드웨인 존슨(블랙 아담), 노아 센티네오(아톰 스매셔), 피어스 브로스넌(닥터 페이트), 퀸테사 스윈들(사이클론), 알디스 호지(호크맨), 사라 샤이(아드리아나)"
인생은 아름다워,20198317,뮤지컬,최국희,"류승룡(강진봉), 염정아(오세연), 박세완(여고생 세연), 옹성우(정우)"
공조2: 인터내셔날,20215601,"액션,코미디",이석훈,"현빈, 유해진, 임윤아, 다니엘 헤니, 진선규"
에브리씽 에브리웨어 올 앳 원스,20226798,"액션,코미디",다니엘 콴|다니엘 쉐이너트,"양자경, 스테파니 수, 키 호이 콴, 제이미 리 커티스"
오펀: 천사의 탄생,20227304,"공포(호러),스릴러",윌리엄 브렌트 벨,"이사벨 퍼만, 줄리아 스타일즈, 로지프 서덜랜드"
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,20226777,애니메이션,Null,Null
정직한 후보2,20219628,코미디,장유정,"라미란(주상숙), 김무열(박희철), 윤경호(봉만식), 서현우(조태주), 박진주(봉만순)"
귀못,20227225,공포(호러),탁세웅,"박하나(보영), 허진(왕애령), 정영주(김사모)"
리멤버,20198461,드라마,이일형,"이성민(한필주), 남주혁(박인규)"
극장판 5등분의 신부,20226751,"애니메이션,드라마",진보 마사토,"마츠오카 요시츠구(우에스기 후타로), 하나자와 카나(나카오 이치카), 타케타츠 아야나(나카노 니노), 이토 미쿠(나카노 미쿠), 사쿠라 아야네(나카노 요츠바), 미나세 이노리(나카노 이츠키)"
스마일,20225729,"미스터리,공포(호러)",파커 핀,"소지 베이컨, 제시 어셔, 카일 갈너, 케이틀린 스테이시, 칼 펜, 롭 모건"
대무가,20208101,"드라마,코미디",이한종,"박성웅(마성준), 양현민(청담도령), 류경수(신남), 정경호(그리고 손익수), 서지유(정윤희)"
미혹,20226877,"미스터리,공포(호러)",김진영,"박효주(현우), 김민재(석호), 차선우(주은)"
가재가 노래하는 곳,20227751,드라마,올리비아 뉴먼,"데이지 에드가 존스, 테일러 존 스미스, 해리스 딕킨슨, 데이빗 스트라탄, 가렛 딜라헌트"
티켓 투 파라다이스,20227338,"멜로/로맨스,코미디",올 파커,"줄리아 로버츠, 조지 클루니, 케이틀린 디버"
더 요트,20226779,"스릴러,범죄,액션",주연 루비 로즈 | 프랭크 그릴로 | 패트릭 슈왈제네거,"루비 로즈, 프랭크 그릴로, 패트릭 슈왈제네거"
캐릭터,20227462,스릴러,나가이 아키라,"스다 마사키, 후카세, 오구리 슌, 나카무라 시도, 타카하타 미츠키"
"그 남자, 좋은 간호사",20227886,스릴러,토비아스 린드홀름,"에디 레드메인, 제시카 차스테인"
컴백홈,20217624,"드라마,코미디",이연우,"송새벽, 라미란, 이범수, 이경영, 오대환"
낮과 달,20211566,드라마,이영아,"유다인, 조은지"
프로메어,20209205,애니메이션,이마이시 히로유키,"마츠야마 켄이치, 사카이 마사토"
나를 죽여줘,20209349,드라마,최익환,"장현성(민석), 안승균(현재), 김경희(환자)"
극장판 헬로카봇: 수상한 마술단의 비밀,20226670,애니메이션,최신규|이슬기|정승원,"이지현(차탄), 조경이(삼순)"
수프와 이데올로기,20211567,다큐멘터리,양영희,"강정희, 양영희, 아라이 카오루"
애프터 미투,20212442,다큐멘터리,Null,Null
극장판 이세계 콰르텟: 어나더 월드,20227358,애니메이션,Null,Null
한산: 용의 출현,20209343,"액션,드라마",김한민,"박해일(이순신), 변요한(와키자카 야스하루), 안성기(어영담), 손현주(원균), 김성규(준사), 김성균(가토), 김향기(보름), 옥택연(임준영), 공명(이억기), 박지환(나대용), 조재윤(마나베 사마노조), 김효주(기생10)"
고고다이노 극장판: 얼음공룡의 비밀,20226739,애니메이션,이선명,"이민규(렉스), 전태열(핑/볼카 \t), 김은아(블랙제니), 엄상현(미스터블랙/안키\t), 성완경(사우론사우루스\t), 신용우(티록), 홍범기(트록), 김율(로키 ), 남도형(케티), 김명준(스톰), 천지선(포키), 김채하(페리), 이영아(비키), 최향윤(토모)"
"어쩌다 공주, 닭냥이 왕자를 부탁해!",20226125,"애니메이션,판타지,어드벤처",Null,Null
극장판 엄마 까투리: 도시로 간 까투리 가족,20226444,애니메이션,정길훈,"김서영(엄마/혜인), 이윤희(마지/비둘기), 김은아(두리/아기멧돼지), 전해리(세찌), 이지현(꽁지/다람쥐/선생님), 양정화(쥐돌이/닭집주인), 홍범기(쥐돌이아빠/할아버지/뺑덕이/고라니), 엄상현(혜인아빠/길고양이3/너구리아저씨/생선가게주인              ), 이현(길고양이1/정육점주인  ), 이명호(길고양이2/뉴스앵커)"
아인보: 아마존의 전설,20226558,애니메이션,Null,Null
